id,topic,video_id,video_title,text,author,timestamp,like_count
Ugz_ZRkr0xrwMSNyGj94AaABAg,Eurovision,EltgrumKJfk,DARA - Bangaranga (LIVE) | Bulgaria 🇧🇬 | Grand Final | Winner of Eurovision 2026,THE MOST UNPREDICTABLE WINNER EVER,@vchslvv,2026-05-16T23:07:44Z,33155
Ugz4MVMA9uw54hnIkQB4AaABAg,Eurovision,EltgrumKJfk,DARA - Bangaranga (LIVE) | Bulgaria 🇧🇬 | Grand Final | Winner of Eurovision 2026,"It feels good to see a country win for the 1st time
Congratulations Bulgaria 🇧🇬",@benjaminvandijck8016,2026-05-17T08:09:22Z,14598
UgybRTHk7fT6-F96mGN4AaABAg,Eurovision,EltgrumKJfk,DARA - Bangaranga (LIVE) | Bulgaria 🇧🇬 | Grand Final | Winner of Eurovision 2026,"It doesn’t feel like live performance, It looks like a music video… absolutely incredible.",@stefanjo2310,2026-05-17T09:22:13Z,15993
UgxaIfokmeYfvW7nY254AaABAg,Eurovision,EltgrumKJfk,DARA - Bangaranga (LIVE) | Bulgaria 🇧🇬 | Grand Final | Winner of Eurovision 2026,People forget this is actually a LIVE performance! The staging is absolutely insane!!,@vintagecherries,2026-06-21T21:50:57Z,377
UgwtROvmsWceG9gbbnp4AaABAg,Eurovision,EltgrumKJfk,DARA - Bangaranga (LIVE) | Bulgaria 🇧🇬 | Grand Final | Winner of Eurovision 2026,The fact she won both Jury and tele vote. Slay queen!,@SuzanaR,2026-05-16T23:25:23Z,13722
UgysBGAsnu9eVaFM-eZ4AaABAg,Eurovision,EltgrumKJfk,DARA - Bangaranga (LIVE) | Bulgaria 🇧🇬 | Grand Final | Winner of Eurovision 2026,"Finally a good use of dancers, they actually feel like performers here instead of just dancers jamming in the background.",@sagxtar264,2026-06-06T16:22:56Z,2423
Ugyr1jS687Y-IJH3el14AaABAg,Eurovision,EltgrumKJfk,DARA - Bangaranga (LIVE) | Bulgaria 🇧🇬 | Grand Final | Winner of Eurovision 2026,"After watching it for the 100th time I can say that I know why they won. They really presented something original and well done: very theatrical, the choreography, the gestures, the faces, the masks, the chairs, the lights, the lyrics, the message, the subtleties. Really fascinating! Congratulations!",@tadeoguerrero7892,2026-06-19T05:30:31Z,262
UgxxqYJpEPXR4JYoejp4AaABAg,Eurovision,EltgrumKJfk,DARA - Bangaranga (LIVE) | Bulgaria 🇧🇬 | Grand Final | Winner of Eurovision 2026,"This performance says ""I've already won, you just don't know it yet""",@Konstantinos_monomachos,2026-05-18T21:32:56Z,4459
UgxPjEvCc-Kl0htVt4J4AaABAg,Eurovision,EltgrumKJfk,DARA - Bangaranga (LIVE) | Bulgaria 🇧🇬 | Grand Final | Winner of Eurovision 2026,"The biggest dark horse in Eurovision history. Welcome Sofia 2027, and well done Bulgaria!! 🇧🇬",@will02468,2026-05-17T09:21:58Z,2337
UgyjSRkMxfQqmqBCIP14AaABAg,Eurovision,EltgrumKJfk,DARA - Bangaranga (LIVE) | Bulgaria 🇧🇬 | Grand Final | Winner of Eurovision 2026,"Credit to the dancers as well, they were amazing",@topgamingnoob893,2026-05-22T19:34:53Z,2036
Ugxe0IWVebkIS5L7RcR4AaABAg,Eurovision,EltgrumKJfk,DARA - Bangaranga (LIVE) | Bulgaria 🇧🇬 | Grand Final | Winner of Eurovision 2026,"1st listen: meh
10th listen: its okay
20th listen: BANGARANGARAN!",@orcite,2026-06-14T21:07:54Z,1406
Ugz3eRtwINaTQwHELZ14AaABAg,Eurovision,EltgrumKJfk,DARA - Bangaranga (LIVE) | Bulgaria 🇧🇬 | Grand Final | Winner of Eurovision 2026,"Admit it, you'd never have thought that this song would win",@Тотсамыйинтервьюер,2026-05-16T23:33:56Z,14949
UgwLWovttaq9Gx9EqKB4AaABAg,Eurovision,EltgrumKJfk,DARA - Bangaranga (LIVE) | Bulgaria 🇧🇬 | Grand Final | Winner of Eurovision 2026,The fact that Bulgaria left Eurovision for three years and came back victorious makes it 10 times crazier!!!,@markoober3116,2026-05-16T23:56:50Z,6160
Ugy5P0bcr7FcvFRyOO54AaABAg,Eurovision,EltgrumKJfk,DARA - Bangaranga (LIVE) | Bulgaria 🇧🇬 | Grand Final | Winner of Eurovision 2026,"I’m not the biggest fan of the song but you have to admit the staging, choreography, and her vocals being good despite her dancing was incredible. She is a natural performer. Congrats Bulgaria!",@Mhth10001,2026-05-17T22:04:28Z,2814
UgwoeJ8dNS06b09v7ox4AaABAg,Eurovision,EltgrumKJfk,DARA - Bangaranga (LIVE) | Bulgaria 🇧🇬 | Grand Final | Winner of Eurovision 2026,"One of the bosses at the company I work for is Bulgarian and a huge Eurovision fan. She gave us a days holiday when they won. Thank you, Dara ❤️",@SpitefulCrow1701,2026-07-04T01:50:57Z,124
UgzQGCwDHaPnoxfwiM14AaABAg,Eurovision,EltgrumKJfk,DARA - Bangaranga (LIVE) | Bulgaria 🇧🇬 | Grand Final | Winner of Eurovision 2026,This doesn’t feel like a live performance… it feels like a cinematic experience. Bulgaria absolutely nailed it.,@VladimirLachinov-mv7sh,2026-05-18T07:37:47Z,1215
UgxbvxQDZO6QnC9c58V4AaABAg,Eurovision,EltgrumKJfk,DARA - Bangaranga (LIVE) | Bulgaria 🇧🇬 | Grand Final | Winner of Eurovision 2026,"FINALLY! BALKANS WIN! Finally win a country without money and budget!!! Clear winner, congratulations to Bulgaria!",@mmchannel5288,2026-05-17T14:49:00Z,4055
UgwuuzyI56FwZB1EHiR4AaABAg,Eurovision,EltgrumKJfk,DARA - Bangaranga (LIVE) | Bulgaria 🇧🇬 | Grand Final | Winner of Eurovision 2026,Ive never cheered this much for Bulgaria to win anything.,@GODLIEK,2026-05-16T23:03:24Z,10941
